epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.932,1.5895,3.68311,1.15298,0.69101,0.88679,0.8174,0.47959,1.22256,2.607,1.06751,0.00052,0.00052,0.00052
2,18.5285,1.22752,0.90297,1.02271,0.78192,0.80503,0.84939,0.4814,1.29451,2.20578,1.11388,0.00103901,0.00103901,0.00103901
3,26.294,1.26055,0.89223,1.05031,0.00081,0.16352,0.00047,0.00013,3.38471,239.651,3.07492,0.00153664,0.00153664,0.00153664
4,33.9891,1.27005,0.78126,1.04463,0.0012,0.2327,0.00072,0.00035,3.07149,210.436,3.67471,0.0018812,0.0018812,0.0018812
5,41.7227,1.24327,0.76556,1.03818,0.00078,0.15723,0.00045,0.0002,3.31993,inf,5.49012,0.0018416,0.0018416,0.0018416
6,49.33,1.21171,0.72319,1.04742,0.82323,0.87421,0.91971,0.57126,1.27228,0.77645,1.09649,0.001802,0.001802,0.001802
7,56.9094,1.14691,0.65669,1.02072,0.85902,0.76644,0.8855,0.47823,1.48626,0.88044,1.19949,0.0017624,0.0017624,0.0017624
8,64.3125,1.20145,0.67421,1.01857,0.89116,0.93711,0.96312,0.6329,1.21041,0.71895,1.07978,0.0017228,0.0017228,0.0017228
9,72.2488,1.15468,0.64057,1.00559,0.93084,0.93117,0.95759,0.6296,1.22155,0.63501,1.07261,0.0016832,0.0016832,0.0016832
10,79.7662,1.11577,0.63103,1.00358,0.8967,0.9434,0.97024,0.62524,1.22573,0.62479,1.07864,0.0016436,0.0016436,0.0016436
11,87.3463,1.12091,0.61436,0.99956,0.94267,0.94969,0.97669,0.64602,1.23338,0.62592,1.062,0.001604,0.001604,0.001604
12,94.9527,1.13108,0.60192,0.9995,0.88163,0.93685,0.95288,0.60137,1.28137,0.63092,1.09268,0.0015644,0.0015644,0.0015644
13,102.005,1.06795,0.57543,0.98899,0.91434,0.93982,0.95905,0.62995,1.2495,0.59433,1.06808,0.0015248,0.0015248,0.0015248
14,109.685,1.09145,0.59382,0.99035,0.90019,0.68553,0.70917,0.4526,1.37395,1.36147,1.20143,0.0014852,0.0014852,0.0014852
15,117.043,1.07554,0.58254,0.99109,0.88961,0.79874,0.88234,0.42059,1.73038,0.95613,1.27127,0.0014456,0.0014456,0.0014456
16,124.8,1.10485,0.5761,0.99597,0.91955,0.93454,0.97369,0.63182,1.2056,0.60024,1.04841,0.001406,0.001406,0.001406
17,132.749,1.06853,0.5764,0.97532,0.90874,0.96855,0.97873,0.67744,1.12983,0.53521,1.01252,0.0013664,0.0013664,0.0013664
18,140.336,1.03564,0.53712,0.9683,0.92717,0.96075,0.97955,0.68954,1.1491,0.52669,1.01881,0.0013268,0.0013268,0.0013268
19,147.986,1.06981,0.56807,0.98065,0.91355,0.98113,0.9752,0.64664,1.16108,0.55236,1.03625,0.0012872,0.0012872,0.0012872
20,155.499,1.0388,0.53175,0.97224,0.95037,0.93711,0.97907,0.66939,1.1332,0.54535,1.00382,0.0012476,0.0012476,0.0012476
21,163.183,1.02721,0.54341,0.96565,0.92266,0.9754,0.97909,0.67606,1.1006,0.53029,1.00233,0.001208,0.001208,0.001208
22,170.52,1.01502,0.54603,0.9762,0.94256,0.92882,0.98343,0.67235,1.16593,0.53948,1.03255,0.0011684,0.0011684,0.0011684
23,178.17,1.00403,0.5347,0.96218,0.92367,0.97484,0.98145,0.68964,1.12522,0.51354,1.01178,0.0011288,0.0011288,0.0011288
24,185.861,0.9765,0.52419,0.94417,0.93684,0.96855,0.98345,0.68637,1.12636,0.51238,1.00514,0.0010892,0.0010892,0.0010892
25,193.411,0.99708,0.51771,0.95114,0.92847,0.9797,0.98422,0.69489,1.13454,0.50169,1.00396,0.0010496,0.0010496,0.0010496
26,201.024,0.9679,0.52072,0.94435,0.94296,0.9434,0.9834,0.67321,1.14772,0.50671,1.01961,0.00101,0.00101,0.00101
27,208.623,1.00256,0.51957,0.9568,0.91781,0.98321,0.9854,0.68458,1.13258,0.50655,1.0043,0.0009704,0.0009704,0.0009704
28,216.296,0.97508,0.49388,0.94513,0.93174,0.9434,0.98405,0.69507,1.11334,0.50685,1.00543,0.0009308,0.0009308,0.0009308
29,223.882,0.97921,0.49694,0.95452,0.93776,0.99371,0.98605,0.70754,1.09775,0.48756,0.99229,0.0008912,0.0008912,0.0008912
30,231.946,0.95693,0.49955,0.93972,0.94009,0.98684,0.98612,0.69414,1.08722,0.47854,0.9919,0.0008516,0.0008516,0.0008516
31,239.622,0.99768,0.50844,0.95109,0.92843,0.99371,0.98795,0.69769,1.08785,0.47559,0.97893,0.000812,0.000812,0.000812
32,247.354,0.93005,0.47033,0.93313,0.93573,0.98113,0.99021,0.69804,1.08747,0.46899,0.99842,0.0007724,0.0007724,0.0007724
33,255.026,0.93627,0.48232,0.9315,0.92766,0.96776,0.98761,0.68618,1.10609,0.48078,0.99089,0.0007328,0.0007328,0.0007328
34,262.424,0.91976,0.46316,0.93218,0.94131,0.96226,0.98769,0.69695,1.07972,0.47104,0.9851,0.0006932,0.0006932,0.0006932
35,270.163,0.94296,0.46059,0.93928,0.94948,0.98113,0.98752,0.68666,1.12549,0.48648,1.00754,0.0006536,0.0006536,0.0006536
36,277.538,0.90425,0.46501,0.93211,0.92855,0.99371,0.98584,0.70122,1.07682,0.46759,0.9934,0.000614,0.000614,0.000614
37,285.115,0.91698,0.45027,0.92555,0.93966,0.97935,0.98645,0.6942,1.07639,0.45364,0.99445,0.0005744,0.0005744,0.0005744
38,292.92,0.90198,0.44716,0.92372,0.95087,0.97383,0.98703,0.7088,1.08079,0.45962,0.98698,0.0005348,0.0005348,0.0005348
39,300.808,0.88831,0.43837,0.92065,0.93914,0.9706,0.98895,0.70603,1.09619,0.45322,0.99233,0.0004952,0.0004952,0.0004952
40,308.428,0.87855,0.43822,0.91036,0.94549,0.98179,0.98899,0.70105,1.11296,0.45184,0.99712,0.0004556,0.0004556,0.0004556
41,335.526,0.8759,0.41602,0.9186,0.94559,0.9837,0.98741,0.70057,1.09178,0.45206,0.98571,0.000416,0.000416,0.000416
42,343.079,0.86932,0.40759,0.91503,0.93755,0.98742,0.98681,0.69813,1.09392,0.45692,0.99479,0.0003764,0.0003764,0.0003764
43,350.786,0.83315,0.4007,0.91141,0.93834,0.98742,0.98755,0.67961,1.15558,0.47808,1.03262,0.0003368,0.0003368,0.0003368
44,358.366,0.82938,0.39867,0.89066,0.93416,0.98166,0.98736,0.69096,1.11206,0.46481,1.00583,0.0002972,0.0002972,0.0002972
45,365.963,0.81452,0.39018,0.89891,0.93984,0.98742,0.98863,0.70559,1.08335,0.44657,0.98803,0.0002576,0.0002576,0.0002576
46,373.809,0.82363,0.39669,0.90258,0.94536,0.97934,0.99012,0.71595,1.08443,0.44186,0.99233,0.000218,0.000218,0.000218
47,381.71,0.80467,0.38992,0.89884,0.93475,0.9911,0.98971,0.71725,1.06408,0.43893,0.98467,0.0001784,0.0001784,0.0001784
48,389.275,0.80804,0.37934,0.90393,0.95116,0.9799,0.99014,0.71042,1.07493,0.43967,0.98685,0.0001388,0.0001388,0.0001388
49,396.755,0.79955,0.37465,0.89145,0.93204,0.98113,0.98935,0.70626,1.08821,0.43947,0.99002,9.92e-05,9.92e-05,9.92e-05
50,403.968,0.77592,0.36619,0.88214,0.92191,0.99371,0.98861,0.71893,1.05488,0.42989,0.9793,5.96e-05,5.96e-05,5.96e-05
